cntr_01,dist_x,pang_x,ra_01,dec_01,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
1,5.329199,-26.150808,2.47917000000E+00,2.59175000000E+01,2.4784446,25.9188288,0.0908,0.0944,-0.0537,12.361,0.037,29.7,7.1770E+01,12.210,0.040,27.1,1.9390E+01,1,0,0000,AA,0,58302.54130028,16125701351043217,11.964,0.023,12.009,0.023,9.312,0.038,6.022,0.050,1286830867,12.842,0.0199,12.538,0.0222,12.444,0.0209
1,5.747212,-23.012513,2.47917000000E+00,2.59175000000E+01,2.4784761,25.9189694,0.0660,0.0657,0.0108,12.231,0.027,40.1,5.5010E+01,12.300,0.058,18.6,9.3810E+00,1,0,0000,AA,0,58302.99946139,16125701351043217,11.964,0.023,12.009,0.023,9.312,0.038,6.022,0.050,1286830867,12.842,0.0199,12.538,0.0222,12.444,0.0209
1,5.832126,-18.277628,2.47917000000E+00,2.59175000000E+01,2.4786051,25.9190383,0.0613,0.0543,-0.0219,12.013,0.023,48.2,2.7430E+01,12.097,0.047,23.1,4.3630E+00,1,0,0000,AA,5,57574.78994728,16125701351043217,11.964,0.023,12.009,0.023,9.312,0.038,6.022,0.050,1286830867,12.842,0.0199,12.538,0.0222,12.444,0.0209
1,5.861980,-16.322132,2.47917000000E+00,2.59175000000E+01,2.4786612,25.9190627,0.0637,0.0551,-0.0265,12.118,0.023,46.8,2.9720E+01,12.132,0.039,27.5,3.8730E+00,1,0,0000,AA,5,58103.36409127,16125701351043217,11.964,0.023,12.009,0.023,9.312,0.038,6.022,0.050,1286830867,12.842,0.0199,12.538,0.0222,12.444,0.0209
1,5.863692,-15.652431,2.47917000000E+00,2.59175000000E+01,2.4786814,25.9190684,0.0577,0.0533,-0.0208,12.069,0.022,49.3,2.7640E+01,12.127,0.043,25.1,3.2140E+00,1,0,0000,AA,10,57383.98856109,16125701351043217,11.964,0.023,12.009,0.023,9.312,0.038,6.022,0.050,1286830867,12.842,0.0199,12.538,0.0222,12.444,0.0209
1,5.880505,-16.891406,2.47917000000E+00,2.59175000000E+01,2.4786423,25.9190630,0.0624,0.0649,-0.0164,12.014,0.026,42.5,3.0780E+01,12.127,0.045,23.9,6.6640E+00,1,0,0000,AA,10,58103.69135000,16125701351043217,11.964,0.023,12.009,0.023,9.312,0.038,6.022,0.050,1286830867,12.842,0.0199,12.538,0.0222,12.444,0.0209
1,5.889718,-20.159800,2.47917000000E+00,2.59175000000E+01,2.4785431,25.9190358,0.0559,0.0532,-0.0147,12.039,0.021,50.7,3.6540E+01,12.096,0.040,26.9,7.8520E+00,1,0,0000,AA,5,58305.68272243,16125701351043217,11.964,0.023,12.009,0.023,9.312,0.038,6.022,0.050,1286830867,12.842,0.0199,12.538,0.0222,12.444,0.0209
1,5.891806,-18.972731,2.47917000000E+00,2.59175000000E+01,2.4785784,25.9190477,0.0540,0.0560,-0.0081,12.009,0.026,41.0,2.7680E+01,12.079,0.037,29.5,6.7800E+00,1,0,0000,AA,5,57207.18314148,16125701351043217,11.964,0.023,12.009,0.023,9.312,0.038,6.022,0.050,1286830867,12.842,0.0199,12.538,0.0222,12.444,0.0209
1,5.904389,-17.383186,2.47917000000E+00,2.59175000000E+01,2.4786252,25.9190652,0.0515,0.0533,-0.0191,12.056,0.023,46.3,3.0280E+01,12.092,0.038,28.4,4.5510E+00,1,0,0000,AA,10,57743.18613866,16125701351043217,11.964,0.023,12.009,0.023,9.312,0.038,6.022,0.050,1286830867,12.842,0.0199,12.538,0.0222,12.444,0.0209
1,5.936594,-19.022395,2.47917000000E+00,2.59175000000E+01,2.4785724,25.9190590,0.0613,0.0581,-0.0146,12.079,0.022,48.7,3.5330E+01,12.038,0.055,19.7,4.0030E+00,1,0,0000,AA,5,58303.13023730,16125701351043217,11.964,0.023,12.009,0.023,9.312,0.038,6.022,0.050,1286830867,12.842,0.0199,12.538,0.0222,12.444,0.0209
1,5.960618,-17.739399,2.47917000000E+00,2.59175000000E+01,2.4786091,25.9190770,0.0702,0.0670,-0.0223,12.030,0.027,40.2,2.0510E+01,12.063,0.043,25.2,3.8480E+00,1,0,0000,AA,5,58303.06478566,16125701351043217,11.964,0.023,12.009,0.023,9.312,0.038,6.022,0.050,1286830867,12.842,0.0199,12.538,0.0222,12.444,0.0209
1,5.964730,-18.286007,2.47917000000E+00,2.59175000000E+01,2.4785920,25.9190732,0.0654,0.0585,-0.0167,12.120,0.023,46.3,2.5300E+01,12.132,0.052,21.0,3.6800E+00,1,0,0000,AA,5,58469.51106034,16125701351043217,11.964,0.023,12.009,0.023,9.312,0.038,6.022,0.050,1286830867,12.842,0.0199,12.538,0.0222,12.444,0.0209
1,5.965455,-18.828256,2.47917000000E+00,2.59175000000E+01,2.4785754,25.9190684,0.0605,0.0568,-0.0168,12.040,0.025,43.0,2.1650E+01,12.140,0.047,22.9,6.0210E+00,1,0,0000,AA,10,58303.52294681,16125701351043217,11.964,0.023,12.009,0.023,9.312,0.038,6.022,0.050,1286830867,12.842,0.0199,12.538,0.0222,12.444,0.0209
1,5.976348,-21.051211,2.47917000000E+00,2.59175000000E+01,2.4785070,25.9190493,0.0583,0.0483,-0.0158,11.945,0.020,53.2,4.3350E+01,11.995,0.038,28.7,1.0330E+01,1,0,0000,AA,10,58305.87907716,16125701351043217,11.964,0.023,12.009,0.023,9.312,0.038,6.022,0.050,1286830867,12.842,0.0199,12.538,0.0222,12.444,0.0209
1,5.997540,-22.676049,2.47917000000E+00,2.59175000000E+01,2.4784559,25.9190372,0.0688,0.0618,-0.0309,12.004,0.027,40.9,3.8600E+01,11.981,0.043,25.0,1.0320E+01,1,0,0000,AA,10,57939.19928671,16125701351043217,11.964,0.023,12.009,0.023,9.312,0.038,6.022,0.050,1286830867,12.842,0.0199,12.538,0.0222,12.444,0.0209
