mjd	w1mag	w2mag	w1flux	w2flux
56744.4365554175	15.69+/-0.13	15.39+/-0.08	0.000165+/-0.000020	0.000121+/-0.000009
56925.604383675	16.26+/-0.10	15.19+/-0.31	(9.8+/-0.9)e-05	0.00015+/-0.00004
57107.553432385	15.88+/-0.07	15.10+/-0.09	0.000139+/-0.000008	0.000157+/-0.000013
57285.0792273125	16.05+/-0.11	15.17+/-0.17	0.000119+/-0.000012	0.000147+/-0.000023
57474.29523935999	15.68+/-0.09	14.81+/-0.10	0.000166+/-0.000013	0.000205+/-0.000019
	nan+/-nan	nan+/-nan	nan+/-nan	nan+/-nan
57838.561810323336	15.86+/-0.21	14.99+/-0.17	0.000141+/-0.000027	0.000175+/-0.000027
58007.17966653333	16.22+/-0.09	15.46+/-0.08	0.000101+/-0.000008	0.000113+/-0.000008
58203.46214851667	15.88+/-0.22	15.16+/-0.25	0.000139+/-0.000028	0.000149+/-0.000035
58367.287629964994	15.86+/-0.11	15.18+/-0.19	0.000141+/-0.000014	0.000146+/-0.000026
58569.0311847575	16.04+/-0.23	15.21+/-0.11	0.000119+/-0.000025	0.000143+/-0.000014
58732.14437213	15.81+/-0.11	15.11+/-0.25	0.000147+/-0.000015	0.000156+/-0.000035
