mjd	w1mag	w1sig	w2mag	w2sig
58736.19250356	11.452	0.021	10.708	0.025
57082.50859515	11.413	0.021	10.718	0.024
56912.44279686	11.374	0.02	10.71	0.022000000000000002
57276.98736633	11.288	0.023	10.696	0.021
58371.77905722	11.443	0.02	10.684000000000001	0.02
57805.85882542	11.394	0.023	10.649000000000001	0.022000000000000002
56720.98602032	11.452	0.02	10.642000000000001	0.019
57082.90257959	11.408	0.016	10.665999999999999	0.018000000000000002
57805.85895278	11.404000000000002	0.027000000000000003	10.669	0.021
57276.46260539	11.422	0.019	10.655	0.02
57806.44827552	11.465	0.019	10.673	0.024
57441.60829914	11.397	0.02	10.66	0.021
57276.33144708	11.44	0.017	10.694	0.022000000000000002
58736.06160037	11.472000000000001	0.018000000000000002	10.661	0.025
56720.52505741	11.437999999999999	0.018000000000000002	10.708	0.021
58163.6441521	11.453	0.018000000000000002	10.687000000000001	0.019
58163.12002521	11.447000000000001	0.02	10.718	0.021
57441.47714078	11.387	0.022000000000000002	10.651	0.021
57277.05307282	11.372	0.019	10.687999999999999	0.023
58736.32327939	11.468	0.02	10.69	0.021
57276.46273271	11.280999999999999	0.02	10.652000000000001	0.021
58163.18598674	11.423	0.018000000000000002	10.675999999999998	0.02
58372.36812169	11.431	0.019	10.712	0.021
58530.48704568	11.434000000000001	0.022000000000000002	10.78	0.024
57083.23098447	11.413	0.017	10.712	0.02
57806.18634041	11.481	0.022000000000000002	10.698	0.022000000000000002
58736.51950689	11.474	0.019	10.716	0.021
57806.05530921	11.392999999999999	0.021	10.692	0.022000000000000002
56721.11781501	11.39	0.018000000000000002	10.645	0.02
57805.59689029	11.388	0.022000000000000002	10.696	0.02
58162.79327348	11.433	0.02	10.681	0.021
58005.26289208	11.45	0.02	10.706	0.022000000000000002
57805.9898567	11.475999999999999	0.02	10.697000000000001	0.025
58163.05508237	11.437000000000001	0.018000000000000002	10.673	0.019
56911.85093005	11.39	0.019	10.675999999999998	0.024
58736.65041002	11.439	0.021	10.686	0.021
57082.83687318	11.386	0.02	10.667	0.02
57641.22481654	11.464	0.019	10.675	0.022000000000000002
57277.18423109	11.421	0.019	10.645	0.021
57276.79062837	11.431	0.017	10.72	0.02
58736.91208918	11.347999999999999	0.022000000000000002	10.669	0.024
57640.96274924	11.405999999999999	0.019	10.655	0.02
58005.45937436	11.398	0.019	10.654000000000002	0.022000000000000002
58163.2514389	11.415	0.02	10.685	0.021
58371.90996045	11.46	0.019	10.682	0.021
56720.39339008	11.402999999999999	0.019	10.725999999999999	0.023
56911.91663642	11.44	0.017	10.696	0.02
57277.31538935	11.407	0.018000000000000002	10.690999999999999	0.02
57640.89729734	11.439	0.019	10.667	0.02
57276.92178725	11.412	0.019	10.710999999999999	0.02
57442.19812986	11.415	0.018000000000000002	10.710999999999999	0.019
58004.8700549	11.39	0.019	10.722000000000001	0.019
56720.72268567	11.323	0.021	10.640999999999998	0.022000000000000002
58372.04086373	11.44	0.019	10.645999999999999	0.025
57641.09378534	11.43	0.019	10.655	0.023
58162.92417795	11.41	0.021	10.645	0.023
57806.25179234	11.415	0.018000000000000002	10.648	0.019
57441.34610968	11.386	0.019	10.679	0.02
56720.854353	11.447000000000001	0.02	10.668	0.02
58005.13198891	11.286	0.022000000000000002	10.720999999999998	0.024
56911.58784981	11.47	0.026000000000000002	10.685	0.021
56911.98247022	11.334000000000001	0.02	10.681	0.022000000000000002
58530.74885295	11.457	0.018000000000000002	10.73	0.023
57441.93594045	11.305	0.02	10.698	0.018000000000000002
57441.73933014	11.44	0.018000000000000002	10.618	0.022000000000000002
56721.24948234	11.435	0.016	10.657	0.019
57442.32928818	11.376	0.017	10.637	0.02
57641.48687912	11.424000000000001	0.019	10.662	0.02
56911.71938988	11.364	0.018000000000000002	10.667	0.022000000000000002
57806.12088851	11.436	0.022000000000000002	10.674000000000001	0.021
58530.42172122	11.470999999999998	0.022000000000000002	10.719000000000001	0.022000000000000002
58372.30267014	11.421	0.022000000000000002	10.677999999999999	0.023
56911.5877225	11.405	0.02	10.618	0.022000000000000002
57082.24589678	11.359000000000002	0.02	10.614	0.025
58736.91196182	11.405	0.023	10.718	0.023
56912.17971667	11.387	0.02	10.669	0.019
56720.26159544	11.374	0.022000000000000002	10.752	0.022000000000000002
57441.87048855	11.434000000000001	0.018000000000000002	10.65	0.02
58005.00108558	11.422	0.02	10.753	0.024
56720.65672464	11.364	0.019	10.659	0.018000000000000002
56912.0481766	11.435	0.017	10.702	0.021
58371.77918454	11.399000000000001	0.026000000000000002	10.690999999999999	0.021
57276.72504924	11.388	0.02	10.699000000000002	0.022000000000000002
57442.06709885	11.481	0.018000000000000002	10.652000000000001	0.021
58736.38873097	11.445	0.019	10.690999999999999	0.022000000000000002
58004.73915157	11.450999999999999	0.021	10.69	0.021
57276.98749374	11.345999999999998	0.022000000000000002	10.674000000000001	0.024
57082.77129409	11.414000000000001	0.018000000000000002	10.683	0.019
58005.1974405	11.443	0.018000000000000002	10.710999999999999	0.022000000000000002
57276.85620807	11.402000000000001	0.021	10.704	0.022000000000000002
58736.45418262	11.363	0.022000000000000002	10.687000000000001	0.023
58163.3168911	11.375	0.019	10.657	0.02
57083.09957161	11.392999999999999	0.017	10.674000000000001	0.021
57640.76626619	11.449000000000002	0.018000000000000002	10.699000000000002	0.019
57082.63988066	11.450999999999999	0.017	10.683	0.021
57806.57930676	11.415	0.019	10.682	0.02
57640.63523509	11.477	0.018000000000000002	10.706	0.02
58736.45405525	11.445	0.024	10.685	0.022000000000000002
57082.70558706	11.379000000000001	0.018000000000000002	10.689	0.021
57276.59389093	11.41	0.018000000000000002	10.698	0.02
58372.49889765	11.415	0.02	10.668	0.021
56720.92018666	11.42	0.018000000000000002	10.635	0.019
58372.1712576	11.503	0.02	10.681	0.021
58530.61794929	11.481	0.018000000000000002	10.7	0.024
58530.487173	11.425999999999998	0.02	10.712	0.022000000000000002
57641.61791037	11.385	0.019	10.667	0.02
57082.96828605	11.375	0.018000000000000002	10.677	0.019
58736.78118589	11.465	0.021	10.703	0.02
58735.93082446	11.414000000000001	0.019	10.690999999999999	0.023
58530.35626939	11.425999999999998	0.021	10.785	0.026000000000000002
57805.72792149	11.511	0.023	10.668	0.024
57641.02833332	11.456	0.021	10.745999999999999	0.023
58163.38234331	11.452	0.02	10.695	0.027000000000000003
57641.35584782	11.44	0.02	10.720999999999998	0.021
57806.3173716	11.414000000000001	0.02	10.667	0.021
58372.6298014	11.47	0.019	10.697000000000001	0.022000000000000002
58005.72118096	11.427999999999999	0.019	10.696	0.021
58372.76070469	11.370999999999999	0.02	10.689	0.02
57641.15936462	11.36	0.019	10.72	0.025
57442.00151965	11.412	0.018000000000000002	10.659	0.019
56720.78851933	11.407	0.017	10.65	0.021
56912.11401034	11.357000000000001	0.02	10.664000000000001	0.022000000000000002
58372.23721851	11.513	0.019	10.72	0.022000000000000002
58163.51273837	11.445	0.019	10.687999999999999	0.027999999999999997
58005.32834377	11.375	0.02	10.72	0.023
58736.58495844	11.417	0.019	10.716	0.021
58005.59027769	11.509	0.021	10.714	0.021
56912.31125674	11.413	0.022000000000000002	10.67	0.021
57441.80490935	11.431	0.019	10.577	0.023
57082.37718223	11.515999999999998	0.02	10.71	0.021
