mjd	w1mag	w2mag	w1flux	w2flux
56723.589620828	14.77+/-0.05	14.69+/-0.10	0.000386+/-0.000019	0.000231+/-0.000021
56905.79728461666	14.95+/-0.05	14.51+/-0.17	0.000326+/-0.000014	0.00027+/-0.00004
57085.57400429858	14.77+/-0.05	14.66+/-0.12	0.000385+/-0.000019	0.000236+/-0.000027
57264.48910661201	14.80+/-0.07	14.97+/-0.06	0.000376+/-0.000026	0.000179+/-0.000010
57452.77512624333	14.82+/-0.04	14.61+/-0.09	0.000367+/-0.000012	0.000247+/-0.000021
57623.450792374446	14.90+/-0.07	15.07+/-0.06	0.000343+/-0.000021	0.000161+/-0.000008
57816.83039670142	14.74+/-0.05	14.86+/-0.09	0.000397+/-0.000018	0.000197+/-0.000017
57983.95048503201	14.94+/-0.10	14.80+/-0.10	0.000330+/-0.000031	0.000207+/-0.000019
58181.10718759143	14.97+/-0.06	14.86+/-0.05	0.000320+/-0.000019	0.000197+/-0.000010
58344.312887176	14.73+/-0.07	14.61+/-0.26	0.000398+/-0.000024	0.00025+/-0.00006
58548.028549539995	14.78+/-0.09	14.86+/-0.13	0.000383+/-0.000033	0.000198+/-0.000024
58711.44919264143	15.00+/-0.06	14.81+/-0.07	0.000312+/-0.000019	0.000206+/-0.000013
