mjd	w1mag	w1sig	w2mag	w2sig
57085.56458124	14.879000000000001	0.11	14.8	0.319
57264.68586963	14.624	0.079	14.779000000000002	0.327
56906.15905197	15.155999999999999	0.13699999999999998	15.091	0.462
57983.55764804	14.762	0.128	14.839	0.428
57085.23630377	14.64	0.087	15.213	0.484
57816.30643542	14.755999999999998	0.09699999999999999	14.370999999999999	0.221
58547.66406868	14.982999999999999	0.12	14.568	0.262
58711.49596194	15.183	0.13	15.036	0.35100000000000003
57623.69823811	15.120999999999999	0.155	15.107000000000001	0.381
58711.56128622	15.214	0.256	14.919	0.33
56905.76443139	14.889000000000001	0.132	14.359000000000002	0.23800000000000002
57264.48913207	14.856	0.105	15.002	0.488
58181.15401191	15.035	0.133	14.741	0.359
58548.0566584	14.504000000000001	0.081	14.859000000000002	0.387
57816.30656278	14.568	0.153	14.860999999999999	0.39399999999999996
58711.1033798	15.017999999999999	0.139	14.752	0.369
58181.15388459	14.859000000000002	0.10400000000000001	14.805	0.441
58181.02298027	14.715	0.09	15.002	0.451
57623.23969449	15.030999999999999	0.12	15.165999999999999	0.42200000000000004
56723.26040161	14.727	0.09300000000000001	14.587	0.262
56905.8301378	14.974	0.113	14.088	0.214
57085.69599416	14.76	0.09300000000000001	14.520999999999999	0.301
56905.43551731	14.962	0.132	14.133	0.314
58711.23428297	15.06	0.134	14.468	0.265
57452.65489765	14.745999999999999	0.142	14.948	0.39899999999999997
57817.02691628	14.897	0.109	15.11	0.509
57085.1048909	14.597999999999999	0.079	14.39	0.267
57984.14683987	14.662	0.109	14.784	0.376
58181.08843243	15.033	0.162	14.620999999999999	0.289
58548.18705269	15.02	0.127	14.375	0.268
58547.92587576	14.509	0.09	15.192	0.523
58711.4305104	14.935	0.114	14.877	0.402
56906.02751179	14.922	0.105	14.919	0.355
58344.65318475	14.84	0.102	14.795	0.382
56723.85303184	14.794	0.091	14.727	0.312
57623.43630414	14.897	0.124	14.779000000000002	0.508
57623.50175583	14.492	0.08800000000000001	14.924000000000001	0.41600000000000004
57453.17927681	14.882	0.09699999999999999	14.395999999999999	0.259
58711.69218937	14.761	0.091	14.814	0.423
57983.88503338	14.939	0.10400000000000001	14.779000000000002	0.382
58547.9257484	14.537	0.078	15.38	0.501
57816.76485376	14.595999999999998	0.121	15.008	0.435
58180.82675116	15.017999999999999	0.17800000000000002	14.960999999999999	0.349
57086.08997817	14.668	0.086	14.267000000000001	0.233
58711.62673779	14.82	0.109	14.793	0.325
58344.3913783	14.909	0.12300000000000001	15.264000000000001	0.532
57623.10866384	14.689	0.113	15.200999999999999	0.418
57816.96133699	14.886	0.12300000000000001	15.012	0.41
57623.37072514	15.044	0.129	15.209000000000001	0.45299999999999996
57085.95869257	14.908	0.126	14.565	0.298
57623.3052735	14.923	0.124	14.909	0.348
57452.85163536	14.815	0.095	14.450999999999999	0.201
57452.58944578	14.706	0.085	14.592	0.271
57264.42355289	14.992	0.11800000000000001	14.925	0.35100000000000003
57623.56720747	14.815	0.11199999999999999	15.106	0.43200000000000005
57452.65502497	14.955	0.107	14.84	0.368
58344.45682997	14.526	0.075	14.035	0.177
58547.7949722	14.958	0.115	14.857000000000001	0.38299999999999995
58180.95765543	14.9	0.105	14.933	0.431
57817.15782027	14.71	0.094	14.745	0.364
57452.72047689	14.825999999999999	0.10300000000000001	14.442	0.233
56723.12860697	14.589	0.09699999999999999	14.548	0.262
58548.64547065	14.925999999999998	0.142	14.758	0.318
57984.14696719	15.145	0.129	14.497	0.21
57984.01593668	15.18	0.132	15.115	0.41200000000000003
56724.11649385	14.895	0.11199999999999999	15.059000000000001	0.392
56723.58956987	14.835999999999999	0.10400000000000001	14.51	0.267
57264.55471126	14.890999999999998	0.135	15.165	0.44
57623.82926885	15.064	0.14400000000000002	15.269	0.541
57817.28885141	14.758	0.10300000000000001	14.890999999999998	0.40299999999999997
58344.2606024	14.672	0.09	14.979000000000001	0.40299999999999997
58181.54659735	15.244000000000002	0.145	14.949000000000002	0.434
57085.36758928	14.945	0.14300000000000002	14.870999999999999	0.324
56905.56705744	14.811	0.096	14.45	0.24
58343.80244046	14.727	0.105	13.991	0.223
57264.29226721	14.620999999999999	0.113	14.957	0.509
