mjd	w1mag	w1sig	w2mag	w2sig
58146.43445054	11.539000000000001	0.024	11.539000000000001	0.036000000000000004
57790.21148147	11.512	0.019	11.571	0.03
57063.59736222	11.484000000000002	0.017	11.495	0.026000000000000002
56704.52506027	11.475	0.019	11.513	0.03
57063.07183792	11.495	0.019	11.484000000000002	0.027000000000000003
56704.19576444	11.507	0.022000000000000002	11.54	0.028999999999999998
58146.69625819	11.491	0.021	11.508	0.032
56704.6567277	11.463	0.018000000000000002	11.481	0.03
58719.57250529	11.503	0.021	11.556	0.031
56704.92018991	11.466	0.018000000000000002	11.520999999999999	0.033
