mjd	w1mag	w2mag	w1flux	w2flux
56722.92019733223	10.0934+/-0.0028	10.121+/-0.005	0.02860+/-0.00007	0.01546+/-0.00007
56905.083924285995	10.085+/-0.007	10.113+/-0.004	0.02883+/-0.00017	0.01558+/-0.00006
57084.885578331436	10.1004+/-0.0032	10.130+/-0.008	0.02842+/-0.00008	0.01535+/-0.00011
57263.931447357776	10.094+/-0.005	10.132+/-0.009	0.02859+/-0.00012	0.01532+/-0.00013
57452.00906328199	10.078+/-0.007	10.089+/-0.016	0.02900+/-0.00019	0.01593+/-0.00024
57622.737068423645	10.080+/-0.008	10.125+/-0.008	0.02895+/-0.00023	0.01541+/-0.00011
57816.18651089778	10.104+/-0.005	10.121+/-0.009	0.02832+/-0.00012	0.01547+/-0.00013
57983.286278568	10.085+/-0.005	10.132+/-0.006	0.02883+/-0.00013	0.01532+/-0.00008
58180.3650206575	10.0876+/-0.0033	10.124+/-0.004	0.02876+/-0.00009	0.01542+/-0.00006
58343.60965112301	10.089+/-0.005	10.135+/-0.007	0.02871+/-0.00012	0.01527+/-0.00010
58547.496988435	10.101+/-0.004	10.143+/-0.013	0.02841+/-0.00011	0.01517+/-0.00018
58710.85842008401	10.0924+/-0.0017	10.130+/-0.008	0.02863+/-0.00005	0.01534+/-0.00011
