mjd	w1mag	w1sig	w2mag	w2sig
57452.2581115	10.111	0.016	10.007	0.019
57622.58810601	10.006	0.019	10.096	0.017
57983.23395552	10.071	0.02	10.127	0.023
57815.77899957	10.105	0.015	10.087	0.018000000000000002
58343.28252036	10.097999999999999	0.017	10.149	0.018000000000000002
58711.04162104	10.094	0.017	10.142999999999999	0.018000000000000002
57983.36485867	10.097999999999999	0.016	10.169	0.02
57983.10292495	10.082	0.016	10.118	0.018000000000000002
58547.0062403	10.111	0.016	10.121	0.016
57622.32617208	10.096	0.019	10.103	0.019
58343.54381753	10.105	0.015	10.161	0.018000000000000002
57263.50875527	10.097999999999999	0.018000000000000002	10.192	0.022000000000000002
58710.32203501	10.092	0.018000000000000002	10.11	0.017
57263.3774696	10.105	0.018000000000000002	10.126	0.018000000000000002
57452.12708044	10.082	0.016	10.106	0.018000000000000002
56904.64984166	10.058	0.02	10.101	0.02
58547.39882355	10.11	0.018000000000000002	10.118	0.019
58711.17239694	10.095	0.016	10.146	0.016
56722.92754047	10.094	0.015	10.113999999999999	0.016
57622.58823337	10.119	0.018000000000000002	10.156	0.02
58710.91071788	10.093	0.017	10.149	0.019
57622.78471632	10.089	0.019	10.07	0.018000000000000002
58343.15123514	10.102	0.02	10.091000000000001	0.019
57983.16837659	10.096	0.016	10.117	0.016
58343.74068162	10.107000000000001	0.02	10.151	0.022000000000000002
58343.60977845	10.078	0.016	10.112	0.019
58547.72595493	10.111	0.017	10.169	0.017
57264.36141186	10.113999999999999	0.017	10.124	0.016
58180.6268292	10.089	0.017	10.144	0.02
57622.7191367	10.087	0.015	10.142999999999999	0.018000000000000002
57982.77566689	10.093	0.019	10.133	0.023
57451.99592201	10.088	0.015	10.125	0.016
56904.51830153	10.08	0.018000000000000002	10.102	0.019
57816.04093478	10.087	0.019	10.097000000000001	0.02
58547.46427536	10.102	0.015	10.135	0.017
56905.50491649	10.08	0.017	10.097999999999999	0.018000000000000002
58710.45281086	10.09	0.016	10.124	0.017
57084.90433339	10.097000000000001	0.013999999999999999	10.122	0.016
58710.71449039	10.093	0.016	10.16	0.018000000000000002
58343.67523006	10.079	0.018000000000000002	10.13	0.017
57816.49935313	10.107000000000001	0.017	10.103	0.017
58180.29956851	10.077	0.017	10.126	0.015
57623.30883895	10.075	0.016	10.138	0.017
58711.3031727	10.105	0.018000000000000002	10.136000000000001	0.017
56905.37337637	10.113	0.017	10.118	0.019
57084.83862698	10.086	0.016	10.12	0.016
57983.62666512	10.095	0.015	10.135	0.017
56722.59824479	10.09	0.013999999999999999	10.1	0.017
58179.90685565	10.074	0.016	10.119	0.017
57623.04677766	10.095	0.015	10.15	0.017
57451.53712205	10.08	0.015	10.1	0.016
57084.70734142	10.113	0.015	10.165	0.019
56905.11016865	10.06	0.018000000000000002	10.129	0.017
57622.45707542	10.073	0.02	10.12	0.017
58710.58371403	10.085	0.017	10.119	0.024
58710.77994198	10.086	0.016	10.137	0.017
57816.17196606	10.121	0.018000000000000002	10.128	0.019
56905.24183619	10.113999999999999	0.017	10.126	0.019
58711.30330001	10.091000000000001	0.02	10.077	0.018000000000000002
56722.72991212	10.09	0.015	10.119	0.016
58547.26804735	10.099	0.016	10.136000000000001	0.019
56722.46657756	10.088	0.019	10.103	0.018000000000000002
57452.0615012	10.078	0.016	10.101	0.018000000000000002
56905.17600242	10.073	0.013999999999999999	10.097999999999999	0.018000000000000002
57084.57592852	10.106	0.015	10.126	0.017
56723.19087517	10.097000000000001	0.018000000000000002	10.125	0.018000000000000002
57816.10651409	10.121	0.016	10.133	0.017
56905.04446225	10.072000000000001	0.015	10.129	0.017
57264.36153922	10.096	0.017	10.094	0.016
57816.23741801	10.08	0.015	10.103	0.019
57816.30299726	10.105	0.02	10.117	0.02
58180.16866428	10.097999999999999	0.02	10.118	0.019
57815.91003086	10.115	0.015	10.161	0.018000000000000002
58547.13714388	10.097999999999999	0.013999999999999999	10.102	0.018000000000000002
58547.59517877	10.085	0.017	10.118	0.018000000000000002
58180.75773347	10.095	0.017	10.12	0.019
57264.2302535	10.084	0.015	10.15	0.018000000000000002
56905.24170883	10.104	0.018000000000000002	10.112	0.017
57623.17780836	10.076	0.015	10.119	0.017
58343.74055431	10.059	0.022000000000000002	10.152999999999999	0.017
58180.23411639	10.083	0.015	10.106	0.017
58343.80600597	10.087	0.015	10.14	0.017
58180.03775997	10.086	0.015	10.122	0.017
58343.41342362	10.088	0.016	10.118	0.017
57622.45720278	10.094	0.022000000000000002	10.148	0.018000000000000002
57084.97003985	10.102	0.016	10.144	0.017
