mjd	w1mag	w2mag	w1flux	w2flux
56773.94798665929	14.95+/-0.04	14.88+/-0.08	0.000326+/-0.000011	0.000194+/-0.000015
56965.1522015575	14.90+/-0.05	14.90+/-0.09	0.000342+/-0.000014	0.000190+/-0.000016
57133.82814796334	15.00+/-0.04	14.91+/-0.10	0.000313+/-0.000011	0.000188+/-0.000017
57328.42653943235	15.009+/-0.025	14.93+/-0.05	0.000309+/-0.000007	0.000184+/-0.000009
57493.33103162818	14.938+/-0.026	14.92+/-0.07	0.000330+/-0.000008	0.000186+/-0.000011
57694.23728837818	14.966+/-0.021	14.85+/-0.08	0.000322+/-0.000006	0.000198+/-0.000015
57855.36450998111	14.92+/-0.06	14.93+/-0.13	0.000334+/-0.000017	0.000185+/-0.000022
58058.4308104675	14.96+/-0.04	14.93+/-0.09	0.000322+/-0.000011	0.000184+/-0.000016
58215.90725179667	14.92+/-0.08	14.82+/-0.05	0.000334+/-0.000024	0.000205+/-0.000009
58424.72820597267	14.88+/-0.04	14.81+/-0.07	0.000348+/-0.000013	0.000206+/-0.000013
58580.000265721	14.90+/-0.04	14.83+/-0.10	0.000341+/-0.000011	0.000202+/-0.000019
58789.592288135	14.98+/-0.04	14.76+/-0.06	0.000318+/-0.000012	0.000216+/-0.000012
