mjd	w1mag	w1sig	w2mag	w2sig
58789.89226429	15.24	0.174	14.78	0.366
58422.15838265	15.219000000000001	0.124	14.448	0.285
57329.97733767	14.999	0.11199999999999999	14.727	0.363
58425.56161561	14.587	0.078	14.308	0.3
58216.008811	15.329	0.161	14.7	0.23600000000000002
57327.55078279	14.912	0.094	15.104000000000001	0.376
57694.14794315	14.921	0.10400000000000001	14.651	0.27899999999999997
58422.48551368	14.815999999999999	0.094	14.517999999999999	0.308
56773.59534192	14.956	0.11900000000000001	14.615	0.252
58580.08536584	14.770999999999999	0.17800000000000002	15.308	0.488
57327.22288722	14.997	0.098	14.597000000000001	0.4
58424.9072261	14.628	0.071	15.398	0.43200000000000005
58425.29980887	14.850999999999999	0.087	15.017000000000001	0.391
57327.41962458	14.788	0.121	15.120999999999999	0.41700000000000004
57494.83230649	14.96	0.096	14.952	0.325
57855.24080803	14.91	0.10800000000000001	14.594000000000001	0.265
58058.21804432	14.777999999999999	0.081	15.279000000000002	0.455
57138.78389134	14.967	0.102	14.729000000000001	0.27699999999999997
56773.46380159	14.954	0.092	15.3	0.523
56773.99034478	14.770999999999999	0.075	14.55	0.207
57330.43651939	15.129000000000001	0.11699999999999999	14.657	0.305
57326.56696872	14.937999999999999	0.08900000000000001	14.93	0.349
58216.27125478	14.817	0.163	15.115	0.33899999999999997
56965.30831786	15.117	0.124	14.925	0.311
57491.29356891	14.965	0.111	14.589	0.26
57133.13898497	14.98	0.096	15.12	0.365
56965.70281082	14.857000000000001	0.08900000000000001	14.633	0.264
57855.37171167	14.808	0.085	15.48	0.527
56774.05605124	15.183	0.14	14.582	0.214
58058.47985183	15.012	0.106	14.964	0.426
56774.05617861	14.825	0.079	14.88	0.27399999999999997
57132.94198747	14.943	0.10300000000000001	15.187000000000001	0.37
57694.08249126	14.91	0.092	14.714	0.273
58425.36526056	15.052999999999999	0.10400000000000001	14.783	0.27899999999999997
57494.30805402	14.937000000000001	0.114	15.107999999999999	0.504
57694.67206781	15.011	0.114	15.048	0.344
57694.54103668	14.93	0.094	14.527000000000001	0.248
58058.741786	15.081	0.134	15.017000000000001	0.35200000000000004
57326.69825428	15.183	0.113	14.878	0.316
57494.43908531	15.004000000000001	0.105	14.689	0.46799999999999997
58790.15343486	14.982000000000001	0.091	14.869000000000002	0.40399999999999997
57491.6212109	14.847000000000001	0.124	14.465	0.213
58216.40203096	14.774000000000001	0.08	14.628	0.245
58789.69603659	15.039000000000001	0.099	14.902000000000001	0.354
58579.95446236	14.979000000000001	0.14	15.29	0.413
57494.89775846	14.921	0.096	15.210999999999999	0.361
56774.4510541	15.123	0.14	15.547	0.528
58579.95458968	14.839	0.098	14.387	0.218
58579.75823453	15.004000000000001	0.10300000000000001	14.35	0.23600000000000002
57693.95146007	14.901	0.087	15.232000000000001	0.434
58425.88874669	14.842	0.08199999999999999	14.787	0.27
57494.70127516	14.805	0.086	14.970999999999998	0.379
57495.1599484	14.845999999999998	0.087	14.948	0.336
58579.49604515	14.747	0.085	14.829	0.304
57132.28555918	15.174000000000001	0.133	14.532	0.363
57132.5481305	14.985	0.107	15.219000000000001	0.389
56773.72700953	14.905999999999999	0.08800000000000001	14.407	0.204
58058.34894777	15.038	0.10099999999999999	15.262	0.38299999999999995
57694.34442628	15.057	0.11	15.085	0.359
57855.17535627	14.936	0.095	15.307	0.408
58425.23435718	14.985999999999999	0.095	14.835	0.292
57132.41684486	14.761	0.08199999999999999	14.78	0.261
58580.01991409	15.008	0.11	14.708	0.28
57855.4372908	14.92	0.08900000000000001	14.694	0.23399999999999999
57494.50466464	14.927	0.08800000000000001	14.44	0.27699999999999997
57326.69812697	15.079	0.105	15.167	0.41
57132.74512262	14.940999999999999	0.10800000000000001	14.898	0.535
58789.56513325	15.035	0.11699999999999999	14.749	0.275
57855.56819439	14.921	0.091	15.402999999999999	0.509
58058.28349606	14.857999999999999	0.085	14.588	0.247
57694.67194045	15.029000000000002	0.106	14.857000000000001	0.35100000000000003
56964.71657845	14.860999999999999	0.1	15.335999999999999	0.47600000000000003
58216.27112747	14.725999999999999	0.11900000000000001	14.882	0.295
58789.17216852	14.812000000000001	0.083	14.72	0.253
58579.62745785	14.972000000000001	0.09	14.68	0.428
56774.31938654	14.757	0.077	15.020999999999999	0.35100000000000003
56965.11107138	14.877	0.094	15.187000000000001	0.45799999999999996
57694.01691201	14.934000000000001	0.092	14.685	0.251
57329.91175861	15.01	0.113	14.503	0.28300000000000003
57491.16253752	14.821	0.08	15.077	0.354
56965.5713981	14.894	0.09	14.799000000000001	0.382
57327.09172902	14.937000000000001	0.095	15.08	0.49
58215.41987235	14.936	0.10300000000000001	14.862	0.363
58425.16890549	15.003	0.125	14.925999999999998	0.32299999999999995
57491.68679028	14.860999999999999	0.086	14.949000000000002	0.344
57494.5701166	14.927999999999999	0.09699999999999999	15.027000000000001	0.38
57491.883401	15.047	0.098	14.993	0.287
57854.84796987	14.866	0.107	14.433	0.284
57133.27027069	14.898	0.09	14.197000000000001	0.19899999999999998
56965.24261149	15.062000000000001	0.10800000000000001	14.892999999999999	0.303
58215.5507759	14.588	0.09	14.72	0.43200000000000005
57491.4247276	15.27	0.133	15.462	0.49200000000000005
56774.18771889	14.958	0.098	15.15	0.397
57492.01443233	14.731	0.077	14.69	0.322
58422.02747927	14.905999999999999	0.095	14.874	0.391
57138.71831213	15.171	0.12300000000000001	15.165	0.426
56773.92451096	15.042	0.096	14.827	0.324
58789.43435722	15.097000000000001	0.161	14.562000000000001	0.265
57133.40155649	14.872	0.138	14.659	0.257
57495.29097964	14.94	0.094	14.845	0.315
58790.02304083	14.927	0.10800000000000001	14.812000000000001	0.33799999999999997
57855.83012896	14.745999999999999	0.08	15.034	0.385
56773.33213398	14.934000000000001	0.08800000000000001	14.729000000000001	0.239
57330.04304414	14.989	0.09300000000000001	15.107000000000001	0.436
57330.1742024	14.982000000000001	0.113	14.794	0.332
57494.76672716	15.015999999999998	0.096	15.024000000000001	0.389
58425.03800215	14.844000000000001	0.08199999999999999	14.843	0.27
58580.15081751	14.779000000000002	0.09	15.061	0.309
58425.03812948	14.796	0.136	14.967	0.318
57491.94898037	14.834000000000001	0.139	15.466	0.45399999999999996
58215.94348656	14.929	0.09699999999999999	14.764000000000001	0.24
57329.91188593	14.872	0.22699999999999998	14.804	0.307
57693.6893977	14.94	0.111	15.259	0.424
58425.6270673	15.005999999999998	0.136	14.704	0.355
58425.49565462	14.84	0.083	14.956	0.425
57491.75236961	15.18	0.128	14.558	0.235
57855.10990446	14.874	0.08900000000000001	14.647	0.243
56774.45092678	14.998	0.102	14.835	0.293
58216.00893831	15.161	0.10800000000000001	14.88	0.359
57494.17702269	14.898	0.10800000000000001	14.389000000000001	0.244
58058.8726894	14.905999999999999	0.094	14.552	0.265
58789.6305849	15.007	0.099	14.815999999999999	0.44299999999999995
57491.81782167	14.873	0.085	15.055	0.309
58789.49929956	14.905999999999999	0.102	14.940999999999999	0.33
57133.00769918	15.102	0.13	15.095999999999998	0.32799999999999996
56964.84811858	14.745	0.077	14.534	0.26
57694.21352241	15.097000000000001	0.11	14.799000000000001	0.29
57132.67941613	15.155	0.12300000000000001	15.297	0.508
58058.61088255	15.047	0.16399999999999998	14.864	0.33399999999999996
57329.97746503	15.012	0.10800000000000001	14.849	0.368
58789.04177449	14.758	0.081	14.294	0.19699999999999998
58057.89078581	15.0	0.09699999999999999	14.925	0.309
57694.27897434	14.895999999999999	0.09300000000000001	14.520999999999999	0.21600000000000003
58580.60872485	14.870999999999999	0.085	14.911	0.35200000000000004
58425.62693994	14.850999999999999	0.092	14.802999999999999	0.29600000000000004
57326.8294125	15.068	0.105	15.189	0.5379999999999999
57855.69922538	15.34	0.217	14.776	0.237
56774.12188507	14.772	0.096	14.732000000000001	0.253
57329.84617946	15.135	0.12	15.237	0.495
58789.30345384	14.843	0.086	15.057	0.41
