mjd	w1mag	w2mag	w1flux	w2flux
56654.33905589001	10.267+/-0.017	9.930+/-0.016	0.0244+/-0.0004	0.01845+/-0.00028
56842.13594870667	10.293+/-0.019	9.914+/-0.014	0.0238+/-0.0004	0.01872+/-0.00025
57020.109488866	10.274+/-0.007	9.916+/-0.013	0.02422+/-0.00016	0.01868+/-0.00022
57203.858388290006	10.270+/-0.018	9.938+/-0.018	0.0243+/-0.0004	0.01832+/-0.00030
57380.34143319	10.325+/-0.015	9.912+/-0.017	0.02312+/-0.00033	0.01876+/-0.00029
57571.151184383336	10.317+/-0.012	9.930+/-0.028	0.02327+/-0.00027	0.0184+/-0.0005
57739.3952492175	10.331+/-0.010	9.944+/-0.014	0.02298+/-0.00020	0.01822+/-0.00024
57935.050238585	10.327+/-0.019	9.947+/-0.018	0.0231+/-0.0004	0.01816+/-0.00030
58100.213832723326	10.277+/-0.021	9.919+/-0.004	0.0241+/-0.0005	0.01863+/-0.00007
58299.60497675333	10.270+/-0.025	9.95+/-0.04	0.0243+/-0.0006	0.0182+/-0.0007
58460.66972325	10.306+/-nan	9.884+/-nan	0.023518677568116174+/-nan	0.019245344985962566+/-nan
58666.56216869	10.341+/-0.019	9.9820+/-0.0010	0.0228+/-0.0004	0.017584+/-0.000016
58828.363559708	10.286+/-0.020	9.957+/-0.014	0.0240+/-0.0004	0.01799+/-0.00023
