mjd	w1mag	w1sig	w2mag	w2sig
56842.38814101	10.353	0.016	9.964	0.016
56654.31706884	10.232000000000001	0.017	9.918	0.016
58828.12803538	10.218	0.018000000000000002	9.961	0.016
58299.21243701	10.224	0.019	9.899	0.019
58828.52061838	10.27	0.019	9.93	0.017
57380.70208758	10.321	0.015	9.927	0.015
57739.05134069	10.324000000000002	0.017	9.949	0.017
56841.66448091	10.253	0.016	9.936	0.015
58666.79112189	10.36	0.018000000000000002	9.981	0.017
57739.90285095	10.325	0.015	9.914	0.017
58100.41023038	10.276	0.016	9.921	0.019
57380.374191	10.344000000000001	0.016	9.899	0.018000000000000002
57018.45368419	10.261	0.018000000000000002	9.949	0.017
57203.97653455	10.232999999999999	0.018000000000000002	9.922	0.017
56842.12493436	10.274000000000001	0.015	9.914	0.017
58299.73579503	10.276	0.023	9.913	0.018000000000000002
58666.33321549	10.322000000000001	0.019	9.982999999999999	0.018000000000000002
57021.60759784	10.277000000000001	0.013999999999999999	9.931000000000001	0.015
58100.27932691	10.241	0.018000000000000002	9.925	0.018000000000000002
57380.43977035	10.283	0.02	9.871	0.017
57203.64838523	10.302999999999999	0.015	9.964	0.016
58828.3897149	10.293	0.015	10.003	0.016
56841.92756047	10.352	0.018000000000000002	9.914	0.018000000000000002
58460.66972325	10.306	0.017	9.884	0.016
56842.0592276	10.261	0.016	9.894	0.015
58299.86669822	10.31	0.018000000000000002	10.024	0.018000000000000002
57571.19481882	10.297	0.015	9.982000000000001	0.017
57020.88482601	10.300999999999998	0.016	9.921	0.017
57021.3447717	10.269	0.016	9.905	0.017
57204.37012376	10.238999999999999	0.017	9.984	0.018000000000000002
57203.77967046	10.252	0.019	9.88	0.018000000000000002
56842.65134789	10.265999999999998	0.017	9.861	0.018000000000000002
57570.99833659	10.34	0.015	9.921	0.017
57739.44443355	10.315999999999999	0.02	9.93	0.017
56654.58065885	10.282	0.015	9.908999999999999	0.015
57935.14841602	10.308	0.018000000000000002	9.929	0.018000000000000002
58828.25893882	10.308	0.016	9.966000000000001	0.019
57379.84968383	10.350999999999999	0.016	9.949	0.015
57018.25656459	10.263	0.015	9.875	0.015
58828.52049106	10.339	0.019	9.926	0.017
57203.51722745	10.322000000000001	0.015	9.937999999999999	0.017
58099.95194088	10.315	0.017	9.911	0.016
56654.11943998	10.286	0.015	9.962	0.017
57934.95206115	10.345999999999998	0.016	9.965	0.016
57571.26039774	10.315	0.016	9.888	0.016
57739.18237168	10.359000000000002	0.017	9.981	0.018000000000000002
