mjd	w1mag	w1sig	w2mag	w2sig
57954.26537681	9.838	0.017	9.242	0.015
58682.88228396	9.837	0.017	9.257	0.013000000000000001
58318.12375676	9.835	0.018000000000000002	9.28	0.016
56672.63377262	9.84	0.013999999999999999	9.205	0.015
56861.07137001	9.877	0.018000000000000002	9.238999999999999	0.013999999999999999
57587.63884101	9.924	0.015	9.258	0.016
58318.71282137	9.889	0.018000000000000002	9.219	0.016
57954.19992522	9.837	0.017	9.232999999999999	0.015
56672.23851493	9.801	0.018000000000000002	9.186	0.016
58118.73876857	9.877	0.016	9.238999999999999	0.013999999999999999
57035.47193097	9.818999999999999	0.013999999999999999	9.201	0.015
57587.18016968	9.747	0.021	9.291	0.018000000000000002
56861.53195006	9.888	0.016	9.2	0.015
58682.55528015	9.834	0.019	9.222000000000001	0.016
58318.51646648	9.853	0.016	9.24	0.013999999999999999
57395.71656016	9.865	0.015	9.204	0.015
56861.26874322	9.861	0.015	9.225	0.013999999999999999
58683.01318712	9.96	0.016	9.225	0.015
56861.79502955	9.824	0.017	9.238999999999999	0.013999999999999999
57222.6740262	9.834	0.015	9.225	0.013000000000000001
57954.65821362	9.851	0.016	9.267999999999999	0.013999999999999999
57587.0491391	9.82	0.018000000000000002	9.234	0.013999999999999999
58479.12164648	9.88	0.015	9.257	0.013999999999999999
57396.17548793	9.844	0.013999999999999999	9.222999999999999	0.015
57954.46185888	9.877	0.016	9.242	0.015
57954.78911689	9.812000000000001	0.018000000000000002	9.207	0.015
56860.80829049	9.854	0.013999999999999999	9.22	0.013999999999999999
57587.76987159	9.855	0.016	9.222999999999999	0.016
57223.0677544	9.805	0.016	9.177	0.015
57754.37814852	9.85	0.018000000000000002	9.243	0.015
57754.77111464	9.854	0.015	9.256	0.013999999999999999
58682.7515081	9.891	0.015	9.276	0.013999999999999999
56861.20303703	9.863	0.015	9.285	0.013000000000000001
58118.47683407	9.834	0.019	9.249	0.015
58118.01867155	9.879	0.016	9.241	0.015
57223.00204817	9.807	0.015	9.252	0.013999999999999999
58479.57968135	9.857000000000001	0.018000000000000002	9.231	0.013999999999999999
58479.44877785	9.847999999999999	0.015	9.258	0.016
57396.04432933	9.802	0.015	9.212	0.015
57755.09862889	9.896	0.017	9.249	0.017
57035.5376375	9.831	0.015	9.21	0.015
58478.5981591	9.874	0.016	9.228	0.015
57755.22953265	9.847000000000001	0.015	9.228	0.015
57587.18029699	9.869	0.019	9.216000000000001	0.017
58118.34593044	9.82	0.016	9.237	0.015
58318.25466002	9.879	0.016	9.327	0.015
57035.40622444	9.855	0.013999999999999999	9.22	0.012
56672.17255375	9.824	0.015	9.228	0.016
57395.65098085	9.877	0.015	9.302999999999999	0.013999999999999999
57395.45437028	9.875	0.02	9.195	0.016
58318.3201116	9.847999999999999	0.013999999999999999	9.221	0.013999999999999999
57223.65809194	9.795	0.015	9.244	0.016
57395.32321168	9.783	0.017	9.245	0.013999999999999999
58317.99298082	9.865	0.015	9.189	0.013000000000000001
57223.13333332	9.811	0.013999999999999999	9.232000000000001	0.013999999999999999
58479.31787429	9.876	0.015	9.243	0.015
58479.05619469	9.841000000000001	0.016	9.264	0.013999999999999999
57035.20910495	9.845	0.016	9.243	0.016
57222.54286837	9.816	0.013000000000000001	9.227	0.013999999999999999
57755.36056376	9.85	0.013999999999999999	9.236	0.013000000000000001
57754.50905236	9.792	0.017	9.2	0.015
56861.07149734	9.892000000000001	0.017	9.264	0.015
58118.54241316	9.862	0.022000000000000002	9.251	0.015
57223.52693416	9.844	0.016	9.294	0.013999999999999999
57223.19891225	9.847999999999999	0.015	9.251	0.017
58478.72893534	9.807	0.02	9.207	0.016
57035.60334403	9.839	0.013000000000000001	9.237	0.013999999999999999
57395.78213944	9.883	0.016	9.281	0.015
57587.24574863	9.885	0.013999999999999999	9.262	0.013999999999999999
57395.45424296	9.839	0.019	9.246	0.013000000000000001
58478.72906265	9.86	0.018000000000000002	9.238999999999999	0.015
58118.60786493	9.831	0.017	9.211	0.017
57586.78720525	9.87	0.015	9.262	0.013000000000000001
58682.29360476	9.875	0.015	9.289	0.015
58318.12388407	9.87	0.016	9.291	0.016
57222.93646925	9.809	0.013999999999999999	9.248	0.013999999999999999
58682.686056	9.862	0.018000000000000002	9.283	0.013000000000000001
57223.26449116	9.818999999999999	0.015	9.191	0.015
58479.18709824	9.849	0.019	9.243	0.015
56672.30434875	9.828	0.013999999999999999	9.211	0.015
58682.81695969	9.86	0.017	9.281	0.016
58682.48983219	9.856	0.013999999999999999	9.273	0.013999999999999999
57395.58540152	9.829	0.015	9.238	0.015
57954.92014737	9.88	0.017	9.23	0.015
58683.27486609	9.872	0.017	9.197000000000001	0.018000000000000002
58118.28047867	9.856	0.016	9.271	0.015
56672.37018257	9.782	0.017	9.205	0.013000000000000001
57587.04926646	9.898	0.017	9.221	0.016
57395.19205303	9.823	0.015	9.232999999999999	0.013000000000000001
56672.43614375	9.818999999999999	0.013999999999999999	9.244	0.013999999999999999
57954.33095571	9.807	0.017	9.273	0.015
57953.93811883	9.847000000000001	0.015	9.24	0.015
58318.64736969	9.839	0.018000000000000002	9.238999999999999	0.015
58118.47696139	9.834	0.022000000000000002	9.246	0.017
57954.7892442	9.816	0.019	9.2	0.017
58682.88241127	9.869	0.017	9.274	0.015
58118.41138226	9.847000000000001	0.016	9.24	0.015
58118.14957514	9.849	0.016	9.229	0.013999999999999999
58683.14396297	9.895	0.02	9.28	0.013999999999999999
57954.52731051	9.892000000000001	0.015	9.254	0.015
56672.04088616	9.861	0.02	9.218	0.015
58318.58191807	9.839	0.015	9.279	0.013999999999999999
57755.03304965	9.766	0.015	9.202	0.013999999999999999
56672.50197762	9.824	0.015	9.228	0.013000000000000001
56860.93983023	9.836	0.013999999999999999	9.241	0.013000000000000001
57954.06902205	9.869	0.013999999999999999	9.287	0.017
57587.50781043	9.874	0.016	9.241	0.015
57754.64008348	9.895	0.017	9.265	0.016
58682.62073174	9.895	0.015	9.294	0.013000000000000001
58318.84359726	9.814	0.018000000000000002	9.317	0.013999999999999999
57587.11471811	9.847000000000001	0.015	9.134	0.015
58118.5422858	9.86	0.017	9.229	0.013999999999999999
57587.31120024	9.742	0.02	9.23	0.017
57587.3113276	9.809	0.02	9.176	0.018000000000000002
57586.91823583	9.845	0.016	9.28	0.015
57035.34051792	9.812999999999999	0.015	9.234	0.013999999999999999
57035.66905056	9.839	0.016	9.257	0.013999999999999999
58682.16282889	9.879	0.015	9.263	0.013000000000000001
57222.80531137	9.766	0.015	9.258	0.016
58479.18697088	9.825	0.018000000000000002	9.2	0.015
57035.07769194	9.857999999999999	0.013999999999999999	9.215	0.013999999999999999
