mjd	w1mag	w2mag	w1flux	w2flux
56681.68820660625	13.417+/-0.031	13.17+/-0.04	0.00134+/-0.00004	0.00093+/-0.00004
56871.32979415334	13.451+/-0.029	13.18+/-0.04	0.001299+/-0.000035	0.00093+/-0.00004
57043.4667972975	13.428+/-0.021	13.20+/-0.05	0.001327+/-0.000026	0.00091+/-0.00004
57233.213315331435	13.382+/-0.025	13.022+/-0.034	0.001384+/-0.000031	0.001069+/-0.000033
57406.669365489994	13.41+/-0.04	13.22+/-0.12	0.00135+/-0.00005	0.00089+/-0.00010
57600.082200343335	13.432+/-0.018	13.170+/-0.032	0.001321+/-0.000022	0.000933+/-0.000027
57767.07758350499	13.437+/-0.027	13.105+/-0.031	0.001315+/-0.000032	0.000991+/-0.000028
57964.2780861611	13.457+/-0.022	13.20+/-0.04	0.001291+/-0.000026	0.000907+/-0.000034
58127.70321247556	13.435+/-0.021	13.103+/-0.032	0.001318+/-0.000025	0.000992+/-0.000029
58328.50398805301	13.424+/-0.031	13.185+/-0.029	0.00133+/-0.00004	0.000920+/-0.000024
58488.45031841299	13.445+/-0.017	13.168+/-0.035	0.001305+/-0.000021	0.000935+/-0.000030
58695.618045186246	13.460+/-0.028	13.209+/-0.025	0.001288+/-0.000033	0.000900+/-0.000021
