mjd	w1mag	w1sig	w2mag	w2sig
57785.69299734	10.242	0.019	8.972999999999999	0.013000000000000001
57421.81723774	10.18	0.02	8.991	0.013000000000000001
57062.74381493	10.121	0.015	9.024	0.013999999999999999
57062.02129806	10.221	0.017	8.988	0.019
56703.14229767	10.162	0.013999999999999999	8.952	0.012
56703.60326094	10.132	0.013000000000000001	8.962	0.013000000000000001
57421.81711043	10.238	0.018000000000000002	8.99	0.013999999999999999
57421.55492064	10.238999999999999	0.017	8.967	0.013999999999999999
57062.34970352	10.196	0.016	8.996	0.013000000000000001
58509.35909514	10.152999999999999	0.018000000000000002	8.992	0.013999999999999999
58143.09716586	10.171	0.018000000000000002	8.991	0.015
58715.25433521	10.219	0.017	9.058	0.015
56702.87883551	10.152999999999999	0.015	8.965	0.013999999999999999
57061.88988512	10.172	0.017	9.046	0.013999999999999999
58142.76977875	10.199	0.015	8.994	0.013000000000000001
58145.38747413	10.27	0.017	8.986	0.013000000000000001
58509.75167838	10.177	0.016	8.998	0.013000000000000001
58509.8824546	10.176	0.013999999999999999	9.003	0.013000000000000001
58510.20958609	10.176	0.016	8.981	0.013000000000000001
57421.42388944	10.187999999999999	0.018000000000000002	8.972000000000001	0.016
56703.4715936	10.174	0.013999999999999999	8.972000000000001	0.013999999999999999
57062.28399705	10.173	0.013999999999999999	8.952	0.013000000000000001
57986.40262856	10.193	0.015	9.024	0.017
57785.88948089	10.225	0.018000000000000002	8.976	0.013999999999999999
57422.27603801	10.17	0.015	8.939	0.013000000000000001
58142.83523072	10.179	0.017	8.923	0.013999999999999999
58143.22806973	10.229	0.018000000000000002	8.992	0.013000000000000001
58143.22794237	10.255999999999998	0.019	8.996	0.013999999999999999
57785.43093454	10.216000000000001	0.016	8.988	0.013000000000000001
58145.45292609	10.204	0.016	8.988999999999999	0.015
