mjd	w1mag	w2mag	w1flux	w2flux
56735.94538265901	9.946+/-0.025	9.770+/-0.015	0.0328+/-0.0008	0.02138+/-0.00030
56927.427153888566	10.003+/-0.018	9.777+/-0.017	0.0311+/-0.0005	0.02124+/-0.00033
57094.95744514388	9.989+/-0.014	9.779+/-0.014	0.0315+/-0.0004	0.02120+/-0.00027
57289.4315776	10.021+/-0.016	9.785+/-0.015	0.0306+/-0.0004	0.02108+/-0.00030
57454.094014568414	10.007+/-0.029	9.755+/-0.014	0.0310+/-0.0008	0.02168+/-0.00029
57654.87051241649	10.044+/-0.009	9.781+/-0.012	0.02994+/-0.00025	0.02116+/-0.00024
57819.43799193072	10.024+/-0.011	9.785+/-0.011	0.03050+/-0.00031	0.02109+/-0.00022
58020.479923696665	10.027+/-0.017	9.783+/-0.014	0.0304+/-0.0005	0.02112+/-0.00028
58178.059935857826	10.018+/-0.015	9.775+/-0.012	0.0306+/-0.0004	0.02128+/-0.00024
58385.21285379368	10.013+/-0.012	9.802+/-0.015	0.03081+/-0.00035	0.02076+/-0.00029
58542.357407529504	10.037+/-0.011	9.784+/-0.019	0.03013+/-0.00031	0.0211+/-0.0004
58751.8386821125	10.036+/-0.014	9.799+/-0.019	0.0302+/-0.0004	0.0208+/-0.0004
