mjd	w1mag	w2mag	w1flux	w2flux
56682.694861027994	10.185+/-0.011	9.778+/-0.008	0.02630+/-0.00027	0.02122+/-0.00015
56860.82978198333	10.203+/-0.021	9.780+/-0.011	0.0259+/-0.0005	0.02118+/-0.00021
57046.47330223818	10.183+/-0.015	9.788+/-0.014	0.0263+/-0.0004	0.02103+/-0.00026
57219.604847856666	10.233+/-0.013	9.811+/-0.013	0.02516+/-0.00031	0.02058+/-0.00024
57409.68073147273	10.202+/-0.018	9.750+/-0.015	0.0259+/-0.0004	0.02177+/-0.00029
57578.34201192181	10.206+/-0.016	9.808+/-0.012	0.0258+/-0.0004	0.02064+/-0.00024
57776.798975253754	10.212+/-0.017	9.799+/-0.010	0.0256+/-0.0004	0.02082+/-0.00019
57941.86814824	10.206+/-0.015	9.818+/-0.010	0.0258+/-0.0004	0.02044+/-0.00018
58141.25292241999	10.255+/-0.021	9.809+/-0.007	0.0247+/-0.0005	0.02062+/-0.00014
58302.38909979875	10.221+/-0.025	9.807+/-0.016	0.0254+/-0.0006	0.02067+/-0.00031
58505.665980487705	10.225+/-0.015	9.816+/-0.012	0.02535+/-0.00034	0.02048+/-0.00023
58666.448866700004	10.234+/-0.022	9.856+/-0.015	0.0251+/-0.0005	0.01975+/-0.00027
