mjd	w1mag	w1sig	w2mag	w2sig
57776.93821208	10.215	0.018000000000000002	9.873	0.017
57045.94778912	10.243	0.017	9.817	0.016
58302.0618737	10.285	0.019	9.863	0.015
57409.44835049	10.173	0.017	9.685	0.016
57046.80184635	10.135	0.016	9.829	0.015
57776.74172854	10.123	0.02	9.781	0.018000000000000002
57046.80171904	10.176	0.019	9.728	0.016
58505.32375477	10.126	0.018000000000000002	9.787	0.016
57046.2104878	10.242	0.013999999999999999	9.787	0.016
57777.33117904	10.075	0.019	9.736	0.023
57577.78213079	10.097000000000001	0.018000000000000002	9.761000000000001	0.017
57776.47966569	10.288	0.016	9.859	0.017
57046.67043331	10.241	0.016	9.818	0.017
58141.28564936	10.345	0.019	9.831	0.018000000000000002
57409.71054023	10.187000000000001	0.018000000000000002	9.715	0.017
58504.86571956	10.229	0.017	9.79	0.016
57776.21773021	10.222999999999999	0.015	9.763	0.016
57409.57938168	10.238	0.016	9.754	0.017
58141.15474564	10.236	0.016	9.797	0.016
57410.03830921	10.229	0.015	9.771	0.013999999999999999
57578.24080153	10.177	0.017	9.78	0.018000000000000002
57409.77611951	10.232000000000001	0.015	9.857000000000001	0.016
57578.04419204	10.236	0.018000000000000002	9.854	0.015
58504.73481591	10.280999999999999	0.015	9.758	0.016
58302.65081053	10.226	0.017	9.793	0.017
56683.07256285	10.224	0.015	9.802999999999999	0.015
56683.66544897	10.267000000000001	0.013999999999999999	9.769	0.016
57046.53902031	10.15	0.015	9.826	0.015
58666.30367343	10.237	0.016	9.929	0.018000000000000002
58510.95120318	10.198	0.016	9.81	0.017
57776.61069716	10.265	0.015	9.798	0.017
58140.76202782	10.185	0.015	9.801	0.015
58505.25830303	10.176	0.017	9.783999999999999	0.016
58505.84711453	10.300999999999998	0.016	9.845	0.015
58504.99649579	10.222000000000001	0.016	9.846	0.016
56683.79724392	10.191	0.013999999999999999	9.814	0.016
57219.03624215	10.248	0.017	9.841000000000001	0.016
57776.87263269	10.243	0.017	9.779	0.017
57776.93808477	10.104	0.017	9.804	0.015
57776.80718061	10.236	0.013999999999999999	9.842	0.016
56680.76685182	10.139	0.015	9.785	0.015
57219.75799269	10.185	0.015	9.771	0.016
58302.25822838	10.241	0.015	9.814	0.015
58141.74381293	10.08	0.02	9.849	0.017
57219.29868563	10.232000000000001	0.016	9.837	0.016
57777.06911619	10.222999999999999	0.015	9.824	0.015
57776.67614919	10.294	0.016	9.797	0.015
58302.12732524	10.186	0.019	9.806000000000001	0.016
58666.49939152	10.252	0.015	9.886000000000001	0.017
58666.56484313	10.155	0.017	9.907	0.018000000000000002
58666.43444932	10.192	0.018000000000000002	9.798	0.018000000000000002
58302.38913152	10.202	0.017	9.767999999999999	0.017
57777.20014766	10.255999999999998	0.016	9.724	0.016
57046.0790748	10.208	0.018000000000000002	9.764	0.015
56684.06083387	10.22	0.016	9.746	0.015
58141.08929368	10.251	0.015	9.81	0.016
57409.31719198	10.244000000000002	0.015	9.74	0.017
56861.04170012	10.29	0.018000000000000002	9.775	0.016
58666.10693672	10.345	0.017	9.845	0.018000000000000002
57941.53491683	10.201	0.021	9.853	0.015
57942.38591525	10.226	0.016	9.799	0.015
56683.53365407	10.214	0.015	9.764	0.015
57941.99307819	10.264000000000001	0.018000000000000002	9.809	0.017
57409.18603356	10.238999999999999	0.013999999999999999	9.793	0.013999999999999999
57776.74160122	10.14	0.021	9.773	0.015
58140.89293153	10.283	0.015	9.809	0.018000000000000002
57776.34863427	10.187000000000001	0.018000000000000002	9.816	0.016
57219.82357165	10.222000000000001	0.015	9.815	0.016
57219.42984346	10.224	0.017	9.814	0.015
56680.30563318	10.203	0.013999999999999999	9.757	0.013999999999999999
57941.92762656	10.305	0.016	9.847000000000001	0.016
56680.56922308	10.142999999999999	0.015	9.77	0.015
56861.30490687	10.219	0.013999999999999999	9.738	0.015
58141.4820052	10.213	0.017	9.818	0.018000000000000002
57046.27619427	10.19	0.013999999999999999	9.769	0.013999999999999999
57046.60472679	10.103	0.017	9.691	0.016
56684.19262876	10.134	0.015	9.742	0.016
58141.22019755	10.283	0.015	9.759	0.015
57046.93313208	10.127	0.016	9.818	0.016
56860.6470808	10.162	0.017	9.857999999999999	0.016
56680.70089072	10.13	0.016	9.759	0.013999999999999999
58141.35110132	10.273	0.015	9.775	0.018000000000000002
57578.69934486	10.25	0.015	9.832	0.015
58141.02384172	10.335	0.016	9.835	0.016
57776.34876159	10.294	0.02	9.792	0.016
57220.02030841	10.265	0.015	9.837	0.015
57578.17522262	10.198	0.018000000000000002	9.832	0.016
56680.63505688	10.164	0.013999999999999999	9.798	0.015
57941.86217494	10.187000000000001	0.017	9.863	0.017
57941.73127166	10.241	0.018000000000000002	9.843	0.017
57046.34190075	10.198	0.015	9.817	0.015
56860.18650075	10.149	0.019	9.779	0.017
57941.53478951	10.175	0.02	9.767999999999999	0.016
56860.71278694	10.193	0.017	9.773	0.017
58505.32362745	10.229	0.017	9.881	0.016
57578.63389326	10.187999999999999	0.02	9.736	0.018000000000000002
57578.56831429	10.25	0.016	9.799	0.015
58505.06194762	10.191	0.015	9.818	0.015
56683.73128277	10.146	0.017	9.773	0.016
56683.92891155	10.24	0.016	9.853	0.015
57410.16946772	10.169	0.016	9.767000000000001	0.015
58665.97666966	10.157	0.019	9.842	0.018000000000000002
57578.89595446	10.262	0.015	9.799	0.015
57777.46208315	10.224	0.015	9.816	0.013999999999999999
58666.63067672	10.247	0.018000000000000002	9.847999999999999	0.017
58141.41655323	10.244000000000002	0.015	9.817	0.015
57941.40388626	10.125	0.021	9.84	0.017
57578.50286269	10.279000000000002	0.016	9.836	0.023
58666.69612832	10.312000000000001	0.016	9.853	0.015
58505.19285125	10.29	0.015	9.734	0.017
56683.59961523	10.195	0.015	9.792	0.015
57577.91316146	10.168	0.018000000000000002	9.872	0.019
58505.5854346	10.286	0.017	9.87	0.015
57219.49554975	10.164	0.015	9.735	0.016
