mjd	w1mag	w2mag	w1flux	w2flux
56777.01802958734	14.744+/-0.024	14.50+/-0.05	0.000395+/-0.000009	0.000275+/-0.000014
56956.65979294562	14.722+/-0.024	14.47+/-0.07	0.000403+/-0.000009	0.000281+/-0.000018
57138.89415710786	14.766+/-0.021	14.41+/-0.05	0.000387+/-0.000007	0.000298+/-0.000014
57316.91180377355	14.563+/-0.016	14.24+/-0.05	0.000466+/-0.000007	0.000349+/-0.000015
57503.45641973857	14.517+/-0.026	14.19+/-0.07	0.000487+/-0.000012	0.000365+/-0.000024
57677.339575320584	14.540+/-0.023	14.064+/-0.033	0.000476+/-0.000010	0.000410+/-0.000013
57870.215866067505	14.523+/-0.026	14.033+/-0.028	0.000484+/-0.000011	0.000421+/-0.000011
58037.880076433335	14.556+/-0.022	14.07+/-0.04	0.000469+/-0.000009	0.000409+/-0.000014
58234.43336846455	14.614+/-0.029	14.21+/-0.07	0.000445+/-0.000012	0.000358+/-0.000023
58398.50593222845	14.597+/-0.018	14.11+/-0.07	0.000452+/-0.000008	0.000394+/-0.000024
58600.029954611724	14.596+/-0.015	14.147+/-0.032	0.000452+/-0.000006	0.000380+/-0.000011
58763.77871750884	14.631+/-0.022	14.24+/-0.05	0.000438+/-0.000009	0.000347+/-0.000015
