mjd	w1mag	w1sig	w2mag	w2sig
57314.79188631	14.651	0.07400000000000001	14.026	0.13699999999999998
58762.97125854	14.632	0.071	14.293	0.243
58761.99012069	14.437000000000001	0.063	14.065	0.162
56777.05308156	14.956	0.08800000000000001	14.257	0.161
56776.78987367	14.792	0.081	14.488	0.203
57676.95037639	14.578	0.09	14.112	0.213
57503.25521683	14.482999999999999	0.08	14.182	0.152
58234.82606737	14.46	0.067	14.241	0.174
57870.85971525	14.453	0.065	14.061	0.185
56777.18474912	14.729000000000001	0.07400000000000001	14.31	0.22699999999999998
57870.4014308	14.419	0.066	14.094000000000001	0.20600000000000002
57870.33597898	14.453	0.066	14.025	0.128
56955.8049574	14.710999999999999	0.09	14.699000000000002	0.35100000000000003
58765.84909333	14.595999999999998	0.075	14.457	0.289
58038.21604518	14.594000000000001	0.07200000000000001	13.915	0.125
56955.67354466	14.849	0.091	14.091	0.147
57677.40892223	14.543	0.073	14.059000000000001	0.22699999999999998
57508.23527856	14.457	0.061	14.194	0.16699999999999998
57314.92304517	14.592	0.07200000000000001	13.950999999999999	0.13699999999999998
57138.42530666	14.82	0.105	14.254000000000001	0.172
57315.05420348	14.81	0.11800000000000001	14.132	0.16699999999999998
58234.69516382	14.792	0.086	14.728	0.428
57138.81916373	14.845999999999998	0.09699999999999999	14.45	0.225
58598.63342132	14.69	0.076	13.911	0.13
57315.25094086	14.647	0.079	14.040999999999999	0.147
58601.25059904	14.612	0.077	13.962	0.154
57317.67762343	14.620999999999999	0.08	14.23	0.192
58763.10216185	14.535	0.066	14.297	0.20800000000000002
56956.19957758	14.544	0.096	14.592	0.235
58398.43545549	14.538	0.078	14.02	0.156
58762.2516725	14.530999999999999	0.092	14.259	0.18600000000000003
58601.64305457	14.44	0.062	14.106	0.185
57138.95045005	14.842	0.129	14.78	0.27699999999999997
58762.64425499	14.618	0.071	14.290999999999999	0.19
57318.26796299	14.475999999999999	0.158	14.902000000000001	0.461
57138.68787804	14.782	0.08199999999999999	14.523	0.217
58762.31712415	14.828	0.087	14.149000000000001	0.149
56776.59249961	14.718	0.121	14.21	0.151
57677.47437424	14.557	0.092	14.06	0.132
58765.52196256	14.648	0.13699999999999998	13.975999999999999	0.171
58762.77503098	14.724	0.079	14.133	0.159
56777.71129213	14.734000000000002	0.075	14.575999999999999	0.201
58037.56140032	14.573	0.077	14.308	0.193
57503.64830972	14.67	0.081	14.353	0.19399999999999998
57869.87756197	14.450999999999999	0.065	13.865	0.177
57502.66538641	14.435	0.064	14.727	0.377
58233.97532209	14.6	0.076	14.148	0.221
56777.25058289	14.815	0.08900000000000001	14.683	0.315
56956.39682406	14.811	0.081	14.08	0.159
56957.05426971	14.762	0.08199999999999999	14.958	0.301
