mjd	w1mag	w2mag	w1flux	w2flux
56671.44193241928	10.955+/-0.012	10.348+/-0.010	0.01294+/-0.00014	0.01256+/-0.00012
56860.045480689514	10.980+/-0.013	10.401+/-0.006	0.01265+/-0.00015	0.01195+/-0.00007
57034.773690764705	10.998+/-0.010	10.422+/-0.007	0.01243+/-0.00011	0.01173+/-0.00007
57222.22020869055	10.996+/-0.016	10.435+/-0.009	0.01246+/-0.00018	0.01159+/-0.00010
57394.859631415326	11.043+/-0.012	10.427+/-0.010	0.01193+/-0.00014	0.01167+/-0.00011
57586.392780229406	11.038+/-0.011	10.434+/-0.011	0.01198+/-0.00013	0.01160+/-0.00011
57754.548166794	11.068+/-0.011	10.468+/-0.008	0.01166+/-0.00012	0.01124+/-0.00008
57952.307874870734	10.556+/-0.006	9.918+/-0.005	0.01867+/-0.00010	0.01866+/-0.00009
58117.00879930562	10.763+/-0.011	10.010+/-0.005	0.01544+/-0.00015	0.01714+/-0.00008
58317.59973756688	10.830+/-0.011	10.107+/-0.006	0.01451+/-0.00015	0.01567+/-0.00009
58478.27511961732	10.950+/-0.010	10.197+/-0.007	0.01300+/-0.00012	0.01442+/-0.00009
58681.77923807278	10.987+/-0.006	10.326+/-0.012	0.01257+/-0.00007	0.01281+/-0.00015
