mjd	w1mag	w1sig	w2mag	w2sig
57754.39100925	11.013	0.017	10.421	0.018000000000000002
57035.15625971	11.061	0.016	10.504000000000001	0.018000000000000002
57394.87714519	10.923	0.02	10.436	0.017
57034.69644142	10.97	0.02	10.422	0.018000000000000002
57034.76202059	10.978	0.02	10.383	0.019
56670.86784648	10.894	0.016	10.309000000000001	0.019
56671.85599064	10.972999999999999	0.017	10.33	0.018000000000000002
57586.97082684	10.969000000000001	0.018000000000000002	10.331	0.021
57586.18464281	11.072000000000001	0.017	10.370999999999999	0.022000000000000002
57034.17078934	10.975999999999999	0.019	10.425999999999998	0.018000000000000002
57034.82772712	11.044	0.017	10.417	0.018000000000000002
57035.28767267	11.012	0.016	10.443	0.018000000000000002
57395.20491434	11.039000000000001	0.016	10.448	0.017
57034.3022023	11.003	0.017	10.419	0.017
57222.46442824	10.962	0.017	10.449000000000002	0.019
57034.95926749	11.052	0.018000000000000002	10.444	0.018000000000000002
57034.76214795	10.982000000000001	0.02	10.413	0.018000000000000002
56671.26310417	10.995999999999999	0.016	10.325	0.018000000000000002
57759.89266769	10.975	0.021	10.444	0.022000000000000002
57034.89356096	10.94	0.022000000000000002	10.388	0.019
56671.13130917	10.963	0.018000000000000002	10.357000000000001	0.02
57395.27049362	11.009	0.016	10.401	0.018000000000000002
57395.00830378	11.047	0.022000000000000002	10.398	0.018000000000000002
57394.9427245	11.017000000000001	0.018000000000000002	10.415999999999999	0.019
57035.02484666	11.015	0.017	10.425999999999998	0.017
57222.33314309	10.95	0.018000000000000002	10.421	0.018000000000000002
58681.23415466	10.988	0.018000000000000002	10.366	0.018000000000000002
57754.71852345	11.127	0.022000000000000002	10.484000000000002	0.02
57586.83979622	11.100999999999999	0.018000000000000002	10.466	0.02
57395.40165227	11.08	0.017	10.384	0.018000000000000002
57754.45646112	11.094000000000001	0.017	10.515	0.019
57753.60496139	11.06	0.018000000000000002	10.477	0.023
56860.53222244	10.856	0.023	10.390999999999998	0.019
