mjd	w1mag	w2mag	w1flux	w2flux
56703.71691589092	8.678+/-0.009	7.730+/-0.005	0.1054+/-0.0008	0.1400+/-0.0006
56894.34480769666	8.787+/-0.006	7.813+/-0.004	0.0953+/-0.0006	0.1297+/-0.0005
57062.97653110819	8.572+/-0.007	7.626+/-0.005	0.1161+/-0.0007	0.1540+/-0.0007
57256.284005128466	8.684+/-0.008	7.727+/-0.006	0.1048+/-0.0008	0.1403+/-0.0008
57422.284124015	8.716+/-0.012	7.733+/-0.014	0.1017+/-0.0012	0.1396+/-0.0018
57620.795296653836	8.749+/-0.007	7.729+/-0.005	0.0986+/-0.0006	0.1401+/-0.0006
57786.988604350714	8.671+/-0.008	7.699+/-0.005	0.1060+/-0.0007	0.1439+/-0.0006
57987.45495750643	8.697+/-0.008	7.719+/-0.004	0.1035+/-0.0008	0.1413+/-0.0005
58144.23229353392	8.666+/-0.006	7.707+/-0.005	0.1065+/-0.0006	0.1429+/-0.0006
58351.65917473769	8.636+/-0.009	7.662+/-0.007	0.1095+/-0.0009	0.1490+/-0.0009
58510.367665769176	8.808+/-0.007	7.805+/-0.008	0.0935+/-0.0006	0.1306+/-0.0009
58717.49279823785	8.938+/-0.006	7.955+/-0.007	0.0829+/-0.0005	0.1138+/-0.0007
