mjd	w1mag	w1sig	w2mag	w2sig
57255.7288962	8.687000000000001	0.015	7.726	0.012
58143.88233444	8.715	0.017	7.729	0.013000000000000001
57422.53810049	8.722000000000001	0.013999999999999999	7.707999999999999	0.012
57063.26921196	8.555	0.016	7.638	0.013999999999999999
57786.1512891	8.681000000000001	0.016	7.727	0.016
57062.80939404	8.581	0.015	7.601	0.012
56894.08613288	8.832	0.017	7.816	0.012
57422.40706925	8.699	0.015	7.702000000000001	0.013000000000000001
58146.6309336	8.696	0.013999999999999999	7.734	0.013000000000000001
58510.14400703	8.802999999999999	0.019	7.807	0.012
57620.25604003	8.746	0.013999999999999999	7.723	0.012
58510.60204196	8.82	0.015	7.779	0.011000000000000001
58145.91096238	8.689	0.016	7.735	0.013000000000000001
58351.74971192	8.589	0.019	7.7	0.013999999999999999
57256.12250193	8.7	0.016	7.745	0.011000000000000001
56703.86659583	8.696	0.013000000000000001	7.747999999999999	0.011000000000000001
56893.82292508	8.782	0.015	7.832000000000001	0.013000000000000001
58351.94606678	8.712	0.015	7.621	0.012
58143.35884619	8.639	0.019	7.728	0.013999999999999999
58143.62052666	8.646	0.017	7.706	0.012
56894.54658773	8.783999999999999	0.018000000000000002	7.834	0.013000000000000001
58143.16236309	8.645	0.016	7.716	0.011000000000000001
58146.30367399	8.696	0.015	7.718	0.013000000000000001
56703.27383779	8.671	0.015	7.7410000000000005	0.011000000000000001
57620.51810194	8.721	0.015	7.751	0.013999999999999999
57620.5836809	8.769	0.017	7.725	0.013999999999999999
57786.67516025	8.683	0.013000000000000001	7.665	0.013000000000000001
58719.24524762	8.964	0.015	7.961	0.012
58143.29326691	8.682	0.015	7.7	0.013999999999999999
58510.86435895	8.812999999999999	0.015	7.785	0.012
58715.84314477	8.982000000000001	0.013999999999999999	7.897	0.012
58351.35712964	8.651	0.013999999999999999	7.649	0.013000000000000001
56703.66896733	8.671	0.013999999999999999	7.72	0.012
56894.67812795	8.763	0.015	7.8260000000000005	0.012
57255.99134001	8.722000000000001	0.013999999999999999	7.735	0.012
58510.40581404	8.825	0.015	7.803	0.012
58351.5534845	8.652999999999999	0.013999999999999999	7.671	0.013000000000000001
58715.77782051	8.916	0.015	7.9670000000000005	0.012
56893.9544653	8.824	0.017	7.82	0.013999999999999999
57987.38478529	8.715	0.013999999999999999	7.736000000000001	0.012
56894.08600557	8.802	0.016	7.801	0.012
57789.49125446	8.668	0.016	7.715	0.013000000000000001
58510.01323081	8.841000000000001	0.015	7.7589999999999995	0.011000000000000001
56894.54646036	8.752	0.016	7.8020000000000005	0.011000000000000001
58146.50002978	8.676	0.016	7.705	0.013000000000000001
56894.94120834	8.767000000000001	0.016	7.827000000000001	0.012
58143.62065402	8.708	0.018000000000000002	7.7379999999999995	0.013999999999999999
57256.58168343	8.715	0.015	7.733	0.012
57256.38494593	8.623	0.016	7.7620000000000005	0.011000000000000001
58718.91824897	8.91	0.018000000000000002	7.9239999999999995	0.013000000000000001
57786.08570976	8.703	0.017	7.705	0.013000000000000001
57256.18808106	8.696	0.013999999999999999	7.723	0.011000000000000001
57422.47264852	8.663	0.018000000000000002	7.693	0.011000000000000001
56894.41492019	8.824	0.013999999999999999	7.822	0.011000000000000001
56704.26172547	8.66	0.013999999999999999	7.707999999999999	0.013000000000000001
56894.80966813	8.772	0.015	7.819	0.013000000000000001
57785.82377413	8.669	0.013999999999999999	7.693	0.012
57256.25366025	8.656	0.017	7.686	0.013000000000000001
57988.03955611	8.673	0.017	7.716	0.013999999999999999
56894.48075394	8.754	0.013999999999999999	7.78	0.013999999999999999
58716.23572696	8.896	0.016	7.994	0.013000000000000001
58143.35871888	8.626	0.019	7.689	0.015
57789.55683376	8.68	0.013999999999999999	7.691	0.013000000000000001
57785.9548056	8.698	0.016	7.732	0.012
58143.03145922	8.638	0.017	7.653	0.013000000000000001
57987.05739995	8.686	0.016	7.716	0.013000000000000001
56894.21767359	8.776	0.016	7.816	0.013999999999999999
57786.80619168	8.621	0.015	7.683	0.013000000000000001
58510.7329461	8.832	0.015	7.845	0.013999999999999999
58143.75155785	8.664	0.017	7.7170000000000005	0.013000000000000001
57256.84412757	8.705	0.016	7.7379999999999995	0.01
58143.42429815	8.642999999999999	0.017	7.697	0.015
58143.48962274	8.617	0.018000000000000002	7.688	0.013000000000000001
57620.32161904	8.763	0.015	7.73	0.012
56703.93242955	8.668	0.013000000000000001	7.728	0.012
56894.28337997	8.783999999999999	0.013000000000000001	7.792000000000001	0.012
57987.58126748	8.649	0.018000000000000002	7.705	0.013999999999999999
58509.88232718	8.806000000000001	0.015	7.837999999999999	0.013000000000000001
57620.19058844	8.757	0.013999999999999999	7.742000000000001	0.012
57786.54412878	8.637	0.015	7.702000000000001	0.013000000000000001
58143.88246176	8.658	0.017	7.694	0.012
57062.41515531	8.529	0.018000000000000002	7.641	0.015
57062.54656825	8.597999999999999	0.015	7.626	0.011000000000000001
57620.64913259	8.764	0.016	7.7410000000000005	0.012
57421.94814162	8.725	0.013999999999999999	7.736000000000001	0.011000000000000001
57786.3477726	8.687000000000001	0.013999999999999999	7.7	0.011000000000000001
