mjd	w1mag	w2mag	w1flux	w2flux
56788.17617588231	14.329+/-0.018	13.285+/-0.026	0.000578+/-0.000009	0.000839+/-0.000020
56969.81888762461	14.47+/-0.04	13.467+/-0.031	0.000507+/-0.000019	0.000710+/-0.000020
57150.26026276133	14.596+/-0.027	13.640+/-0.032	0.000452+/-0.000011	0.000605+/-0.000018
57329.02183541832	14.545+/-0.022	13.69+/-0.05	0.000474+/-0.000009	0.000577+/-0.000024
57516.98624117691	14.656+/-0.033	13.608+/-0.033	0.000428+/-0.000013	0.000624+/-0.000019
57687.98470255769	14.707+/-0.032	13.734+/-0.015	0.000408+/-0.000012	0.000555+/-0.000007
57881.15008838924	14.699+/-0.030	13.84+/-0.04	0.000411+/-0.000011	0.000505+/-0.000019
58048.585770489095	14.709+/-0.021	13.80+/-0.06	0.000407+/-0.000008	0.000520+/-0.000027
58247.0492913112	14.383+/-0.015	13.588+/-0.026	0.000550+/-0.000008	0.000635+/-0.000015
58410.47901260055	14.341+/-0.017	13.507+/-0.032	0.000572+/-0.000009	0.000684+/-0.000020
58612.46912592572	14.454+/-0.026	13.54+/-0.05	0.000515+/-0.000012	0.000664+/-0.000029
58776.46664704818	14.414+/-0.016	13.58+/-0.04	0.000535+/-0.000008	0.000639+/-0.000022
