mjd	w1mag	w1sig	w2mag	w2sig
58408.85424424	14.216	0.065	13.622	0.113
58248.68552766	14.302	0.066	13.575999999999999	0.135
58245.28216684	14.239	0.061	13.595	0.156
58612.29155141	14.585	0.079	13.709000000000001	0.134
58245.5439736	14.431	0.066	13.487	0.10800000000000001
58412.25645859	14.360999999999999	0.065	13.422	0.099
57149.76577571	14.419	0.068	13.437000000000001	0.08900000000000001
58612.4877791	14.509	0.08199999999999999	13.56	0.111
58248.09646259	14.392000000000001	0.065	13.780999999999999	0.139
56787.63448057	14.225	0.055	13.174000000000001	0.068
57150.42220253	14.607000000000001	0.081	13.742	0.11699999999999999
56788.16102265	14.315	0.065	13.194	0.075
58248.09658991	14.356	0.065	13.484000000000002	0.091
57329.10379873	14.464	0.066	13.575	0.10099999999999999
57516.9359035	14.583	0.071	13.57	0.099
56788.75327113	14.355	0.057999999999999996	13.447000000000001	0.085
58412.71449356	14.360999999999999	0.063	13.407	0.09300000000000001
56787.96352162	14.334000000000001	0.065	13.205	0.073
58048.5083953	14.673	0.077	14.296	0.28300000000000003
58612.88036605	14.298	0.06	13.436	0.106
58776.8532445	14.45	0.063	13.599	0.099
57881.05936499	14.718	0.122	13.714	0.111
57328.7759031	14.593	0.071	13.780999999999999	0.111
57517.00135523	14.669	0.081	13.593	0.095
58248.81630367	14.4	0.075	13.99	0.149
58612.42232744	14.395	0.076	13.338	0.105
56788.49006375	14.239	0.057	13.177999999999999	0.069
56969.82398115	14.495	0.073	13.574000000000002	0.115
57328.57916574	14.625	0.10800000000000001	13.705	0.11
58613.01114213	14.488	0.07	13.307	0.10800000000000001
58611.89909613	14.421	0.073	13.63	0.11800000000000001
56969.62673455	14.283	0.065	13.284	0.08900000000000001
58612.35700307	14.38	0.065	13.411	0.10300000000000001
58048.11555769	14.845	0.099	13.74	0.111
57149.56891131	14.489	0.073	13.529000000000002	0.11199999999999999
58776.26443466	14.407	0.062	13.325	0.092
57150.15963186	14.448	0.07200000000000001	13.648	0.18
57516.80474529	14.92	0.11599999999999999	13.648	0.098
58248.35826925	14.204	0.083	13.575	0.113
57150.55336057	14.520999999999999	0.081	13.5	0.1
58411.73297253	14.347999999999999	0.067	13.359000000000002	0.092
57149.96276747	14.604000000000001	0.076	13.77	0.128
58245.80565299	14.474	0.073	13.484000000000002	0.10400000000000001
57881.1249441	14.569	0.07400000000000001	14.007	0.253
56788.35839638	14.374	0.063	13.305	0.078
